id,fecha_hora,hora,temperatura,lluvia,radiacion,presion
1,05/04/2026 06:00 p. m.,18,21.60,0.00,0.06,878.42
2,05/04/2026 05:00 p. m.,17,22.52,0.00,0.44,878.05
3,05/04/2026 04:00 p. m.,16,22.69,0.00,0.57,877.88
4,05/04/2026 03:00 p. m.,15,23.92,0.00,1.20,878.13
5,05/04/2026 02:00 p. m.,14,24.06,0.00,1.27,878.46
6,05/04/2026 01:00 p. m.,13,23.93,0.00,1.47,879.14
7,05/04/2026 12:00 p. m.,12,23.43,0.00,1.53,879.82
8,05/04/2026 11:00 a. m.,11,21.69,0.00,1.48,880.32
9,05/04/2026 10:00 a. m.,10,21.31,0.00,0.96,880.35
10,05/04/2026 09:00 a. m.,9,21.70,0.00,0.78,880.47
11,05/04/2026 08:00 a. m.,8,21.03,0.00,0.55,880.28
12,05/04/2026 07:00 a. m.,7,19.22,0.00,0.37,879.83
13,05/04/2026 06:00 a. m.,6,18.16,0.00,0.05,879.22
