"cod_canton","canton","provincia","poblacion"
101,"San José","San José",352381
102,"Escazú","San José",71500
103,"Desamparados","San José",223226
104,"Puriscal","San José",38525
105,"Tarrazú","San José",17810
106,"Aserrí","San José",59588
107,"Mora","San José",32348
108,"Goicoechea","San José",132104
109,"Santa Ana","San José",58020
110,"Alajuelita","San José",81012
111,"Vázquez de Coronado","San José",67078
112,"Acosta","San José",22542
113,"Tibás","San José",74592
114,"Moravia","San José",59546
115,"Montes de Oca","San José",53862
116,"Turrubares","San José",6173
117,"Dota","San José",9364
118,"Curridabat","San José",71026
119,"Pérez Zeledón","San José",156917
120,"León Cortés Castro","San José",13553
201,"Alajuela","Alajuela",322143
202,"San Ramón","Alajuela",93264
203,"Grecia","Alajuela",76226
204,"San Mateo","Alajuela",6952
205,"Atenas","Alajuela",30407
206,"Naranjo","Alajuela",46647
207,"Palmares","Alajuela",39148
208,"Poás","Alajuela",36207
209,"Orotina","Alajuela",24217
210,"San Carlos","Alajuela",198742
211,"Zarcero","Alajuela",15153
212,"Sarchí","Alajuela",21562
213,"Upala","Alajuela",57361
214,"Los Chiles","Alajuela",34701
215,"Guatuso","Alajuela",18316
216,"Río Cuarto","Alajuela",14418
301,"Cartago","Cartago",165417
302,"Paraíso","Cartago",65941
303,"La Unión","Cartago",99539
304,"Jiménez","Cartago",18710
305,"Turrialba","Cartago",82065
306,"Alvarado","Cartago",17134
307,"Oreamuno","Cartago",48911
308,"El Guarco","Cartago",47375
401,"Heredia","Heredia",131901
402,"Barva","Heredia",47699
403,"Santo Domingo","Heredia",45932
404,"Santa Bárbara","Heredia",39133
405,"San Rafael","Heredia",48848
406,"San Isidro","Heredia",22806
407,"Belén","Heredia",23759
408,"Flores","Heredia",22026
409,"San Pablo","Heredia",29860
410,"Sarapiquí","Heredia",67153
501,"Liberia","Guanacaste",80130
502,"Nicoya","Guanacaste",66268
503,"Santa Cruz","Guanacaste",72366
504,"Bagaces","Guanacaste",23709
505,"Carrillo","Guanacaste",48227
506,"Cañas","Guanacaste",31738
507,"Abangares","Guanacaste",22211
508,"Tilarán","Guanacaste",21232
509,"Nandayure","Guanacaste",11874
510,"La Cruz","Guanacaste",26829
511,"Hojancha","Guanacaste",8224
601,"Puntarenas","Puntarenas",141697
602,"Esparza","Puntarenas",34808
603,"Buenos Aires","Puntarenas",50562
604,"Montes de Oro","Puntarenas",16395
605,"Osa","Puntarenas",36088
606,"Quepos","Puntarenas",32416
607,"Golfito","Puntarenas",44086
608,"Coto Brus","Puntarenas",46351
609,"Parrita","Puntarenas",20068
610,"Corredores","Puntarenas",51023
611,"Garabito","Puntarenas",26672
701,"Limón","Limón",116457
702,"Pococí","Limón",146320
703,"Siquirres","Limón",63765
704,"Talamanca","Limón",48906
705,"Matina","Limón",45329
706,"Guácimo","Limón",49606
