Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Sexo,Nacionalidad,Provincia,Canton,Distrito
ASALTO,ARMA BLANCA,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,FLORES,SAN JOAQUIN
ASALTO,ARMA DE FUEGO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Desconocido,HOMBRE,Desconocido,GUANACASTE,CARRILLO,FILADELFIA
ASALTO,ARMA DE FUEGO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Desconocido,HOMBRE,Desconocido,GUANACASTE,CARRILLO,FILADELFIA
ASALTO,ARMA DE FUEGO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,CARRILLO,FILADELFIA
ASALTO,ARMA DE FUEGO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,OREAMUNO,SAN RAFAEL
HURTO,OTRO O INDETERMINADO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA,HEREDIA
HURTO,OTRO O INDETERMINADO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA,HEREDIA
ROBO,ESCALAMIENTO,12/28/2025,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,SAN PABLO,SAN PABLO
ROBO DE VEHICULO,ASALTO,12/28/2025,21:00:00 - 23:59:59,VEHICULO,MOTOCICLETA/REPARTIDOR [VEHICULO],Mayor de edad,DESCONOCIDO,Desconocido,LIMON,POCOCI,GUAPILES
ROBO DE VEHICULO,DESCUIDO,12/28/2025,21:00:00 - 23:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,VASQUEZ DE CORONADO,SAN ISIDRO
ASALTO,ARMA BLANCA,12/28/2025,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,CARMEN
ASALTO,ARMA BLANCA,12/28/2025,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,CARMEN
ASALTO,ARMA BLANCA,12/28/2025,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,ZAPOTE
ASALTO,ARREBATO,12/28/2025,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,MERCED
ASALTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,DESCONOCIDO
HOMICIDIO,AJUSTE DE CUENTAS/VENGANZA,12/28/2025,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,SIQUIRRES,SIQUIRRES
HURTO,CARTERISTA,12/28/2025,18:00:00 - 20:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,FLORES,SAN JOAQUIN
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,SAN CARLOS,FORTUNA
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,MUJER,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,OTRO O INDETERMINADO,12/28/2025,18:00:00 - 20:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,PUNTARENAS,COBANO
HURTO,POR CONFIANZA,12/28/2025,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,LIBERIA,NACASCOLO
ROBO,RUPTURA VENTANA,12/28/2025,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,DESCONOCIDO,Desconocido,LIMON,POCOCI,ROXANA
ROBO DE VEHICULO,DESCUIDO,12/28/2025,18:00:00 - 20:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,MATA REDONDA
ROBO DE VEHICULO,DESCUIDO,12/28/2025,18:00:00 - 20:59:59,VEHICULO,MOTOCICLETA [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,COBANO
ASALTO,ARMA BLANCA,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GARABITO,TARCOLES
ASALTO,ARMA BLANCA,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,GARABITO,TARCOLES
ASALTO,ARMA BLANCA,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Menor de edad,DESCONOCIDO,COSTA RICA,PUNTARENAS,GARABITO,TARCOLES
ASALTO,ARMA DE FUEGO,12/28/2025,15:00:00 - 17:59:59,OTROS,NO DEFINIDO [OTROS],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON,LIMON
ASALTO,ARREBATO,12/28/2025,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,MERCED
ASALTO,ARREBATO,12/28/2025,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,MERCED
HURTO,CARTERISTA,12/28/2025,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,ALAJUELA
HURTO,POR DESCUIDO,12/28/2025,15:00:00 - 17:59:59,OTROS,NO DEFINIDO [OTROS],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,PUNTARENAS
HURTO,POR DESCUIDO,12/28/2025,15:00:00 - 17:59:59,OTROS,NO DEFINIDO [OTROS],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,PUNTARENAS
HURTO,POR DESCUIDO,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,DESCONOCIDO,DESCONOCIDO
HURTO,POR DESCUIDO,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,DESCONOCIDO,DESCONOCIDO
HURTO,POR DESCUIDO,12/28/2025,15:00:00 - 17:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DE EL GENERAL
ROBO,FORZADURA,12/28/2025,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Adulto Mayor,HOMBRE,COSTA RICA,LIMON,LIMON,LIMON
ROBO,FORZADURA,12/28/2025,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,SAN RAFAEL
ROBO,FORZADURA,12/28/2025,15:00:00 - 17:59:59,VIVIENDA,NO APLICA [VIVIENDA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,SAN RAFAEL
ROBO DE VEHICULO,ASALTO,12/28/2025,15:00:00 - 17:59:59,VEHICULO,FURGON O CONTENEDOR [VEHICULO],Adulto Mayor,HOMBRE,PANAMA,ALAJUELA,ALAJUELA,TURRUCARES
ROBO DE VEHICULO,ASALTO,12/28/2025,15:00:00 - 17:59:59,VEHICULO,FURGON O CONTENEDOR [VEHICULO],Adulto Mayor,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,TURRUCARES
TACHA DE VEHICULO,TACHA DE VEHICULO,12/28/2025,15:00:00 - 17:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,ESCAZU,ESCAZU
TACHA DE VEHICULO,TACHA DE VEHICULO,12/28/2025,15:00:00 - 17:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,GARABITO,JACO
TACHA DE VEHICULO,TACHA DE VEHICULO,12/28/2025,15:00:00 - 17:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,GOICOECHEA,GUADALUPE
TACHA DE VEHICULO,TACHA DE VEHICULO,12/28/2025,15:00:00 - 17:59:59,VEHICULO,RURAL 4X4 [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,GOICOECHEA,GUADALUPE
TACHA DE VEHICULO,TACHA DE VEHICULO,12/28/2025,15:00:00 - 17:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,MUJER,UCRANIA,PUNTARENAS,GARABITO,TARCOLES
ASALTO,ARMA CONTUNDENTE,12/28/2025,12:00:00 - 14:59:59,PERSONA,TAXISTA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,SANTA CRUZ,SANTA CRUZ
ASALTO,ARREBATO,12/28/2025,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,HOSPITAL
HURTO,POR DESCUIDO,12/28/2025,12:00:00 - 14:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,DESCONOCIDO,ESTADOS UNIDOS,GUANACASTE,LIBERIA,LIBERIA
ROBO,OTRO O INDETERMINADO,12/28/2025,12:00:00 - 14:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,MATA REDONDA
